lever,target,spearman,preset
survivor_spillover_to_profit,final_fed_deficit_B,0.0661700101700101,"Karger et al. — Expert survey, rapid (P≈14%)"
ui_weeks,final_fed_deficit_B,0.0648217623105806,"Karger et al. — Expert survey, rapid (P≈14%)"
shareholder_eff_rate,final_fed_deficit_B,-0.0526395526395526,"Karger et al. — Expert survey, rapid (P≈14%)"
cg_realization_rate,final_fed_deficit_B,-0.0424400104400104,"Karger et al. — Expert survey, rapid (P≈14%)"
interest_rate,final_fed_deficit_B,0.0396648396648396,"Karger et al. — Expert survey, rapid (P≈14%)"
equity_taxable_share,final_fed_deficit_B,-0.0384905544905544,"Karger et al. — Expert survey, rapid (P≈14%)"
baseline_growth_rate,final_fed_deficit_B,0.0373877413877413,"Karger et al. — Expert survey, rapid (P≈14%)"
mpc,final_fed_deficit_B,0.0370125456263497,"Karger et al. — Expert survey, rapid (P≈14%)"
survivor_raise_ceiling,final_fed_deficit_B,0.0292783492783492,"Karger et al. — Expert survey, rapid (P≈14%)"
physical_feasibility,final_fed_deficit_B,0.0292536652536652,"Karger et al. — Expert survey, rapid (P≈14%)"
ubi_recapture_rate,final_fed_deficit_B,-0.020087228087228,"Karger et al. — Expert survey, rapid (P≈14%)"
productivity_passthrough,final_fed_deficit_B,-0.0193238699457259,"Karger et al. — Expert survey, rapid (P≈14%)"
equity_pe_multiple,final_fed_deficit_B,0.0169604089604089,"Karger et al. — Expert survey, rapid (P≈14%)"
consumption_stickiness,final_fed_deficit_B,0.016501754511382,"Karger et al. — Expert survey, rapid (P≈14%)"
state_rate_hike_cap,final_fed_deficit_B,0.0132960012960012,"Karger et al. — Expert survey, rapid (P≈14%)"
