filing_status,state,income_band_lo,income_band_hi,n_children,prob,source_level,n_unweighted
Single,New Mexico,,25000.0,2,0.0,filing_state_band,1059
Single,New Mexico,,25000.0,3+,0.0,filing_state_band,1059
Single,New Mexico,25000.0,55000.0,0,1.0,filing_state_band,912
Single,New Mexico,25000.0,55000.0,1,0.0,filing_state_band,912
Single,New Mexico,25000.0,55000.0,2,0.0,filing_state_band,912
Single,New Mexico,25000.0,55000.0,3+,0.0,filing_state_band,912
Single,New Mexico,55000.0,,0,1.0,filing_state_band,1263
Single,New Mexico,55000.0,,1,0.0,filing_state_band,1263
Single,New Mexico,55000.0,,2,0.0,filing_state_band,1263
Single,New Mexico,55000.0,,3+,0.0,filing_state_band,1263
Single,New York,,25000.0,0,1.0,filing_state_band,7674
Single,New York,,25000.0,1,0.0,filing_state_band,7674
Single,New York,,25000.0,2,0.0,filing_state_band,7674
Single,New York,,25000.0,3+,0.0,filing_state_band,7674
Single,New York,25000.0,55000.0,0,1.0,filing_state_band,7437
Single,New York,25000.0,55000.0,1,0.0,filing_state_band,7437
Single,New York,25000.0,55000.0,2,0.0,filing_state_band,7437
Single,New York,25000.0,55000.0,3+,0.0,filing_state_band,7437
Single,New York,55000.0,,0,1.0,filing_state_band,14391
Single,New York,55000.0,,1,0.0,filing_state_band,14391
Single,New York,55000.0,,2,0.0,filing_state_band,14391
Single,New York,55000.0,,3+,0.0,filing_state_band,14391
Single,North Carolina,,25000.0,0,1.0,filing_state_band,4829
Single,North Carolina,,25000.0,1,0.0,filing_state_band,4829
Single,North Carolina,,25000.0,2,0.0,filing_state_band,4829
Single,North Carolina,,25000.0,3+,0.0,filing_state_band,4829
Single,North Carolina,25000.0,55000.0,0,1.0,filing_state_band,4937
Single,North Carolina,25000.0,55000.0,1,0.0,filing_state_band,4937
Single,North Carolina,25000.0,55000.0,2,0.0,filing_state_band,4937
Single,North Carolina,25000.0,55000.0,3+,0.0,filing_state_band,4937
Single,North Carolina,55000.0,,0,1.0,filing_state_band,6507
Single,North Carolina,55000.0,,1,0.0,filing_state_band,6507
Single,North Carolina,55000.0,,2,0.0,filing_state_band,6507
Single,North Carolina,55000.0,,3+,0.0,filing_state_band,6507
Single,North Dakota,,25000.0,0,1.0,filing_state_band,373
Single,North Dakota,,25000.0,1,0.0,filing_state_band,373
Single,North Dakota,,25000.0,2,0.0,filing_state_band,373
Single,North Dakota,,25000.0,3+,0.0,filing_state_band,373
Single,North Dakota,25000.0,55000.0,0,1.0,filing_state_band,420
Single,North Dakota,25000.0,55000.0,1,0.0,filing_state_band,420
Single,North Dakota,25000.0,55000.0,2,0.0,filing_state_band,420
Single,North Dakota,25000.0,55000.0,3+,0.0,filing_state_band,420
Single,North Dakota,55000.0,,0,1.0,filing_state_band,546
Single,North Dakota,55000.0,,1,0.0,filing_state_band,546
Single,North Dakota,55000.0,,2,0.0,filing_state_band,546
Single,North Dakota,55000.0,,3+,0.0,filing_state_band,546
Single,Ohio,,25000.0,0,1.0,filing_state_band,5243
Single,Ohio,,25000.0,1,0.0,filing_state_band,5243
Single,Ohio,,25000.0,2,0.0,filing_state_band,5243
Single,Ohio,,25000.0,3+,0.0,filing_state_band,5243
Single,Ohio,25000.0,55000.0,0,1.0,filing_state_band,6402
Single,Ohio,25000.0,55000.0,1,0.0,filing_state_band,6402
Single,Ohio,25000.0,55000.0,2,0.0,filing_state_band,6402
Single,Ohio,25000.0,55000.0,3+,0.0,filing_state_band,6402
Single,Ohio,55000.0,,0,1.0,filing_state_band,7275
Single,Ohio,55000.0,,1,0.0,filing_state_band,7275
Single,Ohio,55000.0,,2,0.0,filing_state_band,7275
Single,Ohio,55000.0,,3+,0.0,filing_state_band,7275
Single,Oklahoma,,25000.0,0,1.0,filing_state_band,1858
Single,Oklahoma,,25000.0,1,0.0,filing_state_band,1858
Single,Oklahoma,,25000.0,2,0.0,filing_state_band,1858
Single,Oklahoma,,25000.0,3+,0.0,filing_state_band,1858
