ref_area,source,indicator,classif1,classif2,time,obs_value,obs_status,note_classif,note_indicator,note_source
KOR,BA:222,EMP_TEMP_ECO_OCU_NB,ECO_ISIC4_N,OCU_ISCO08_TOTAL,2024,1379.096,,,,R1:3513
KOR,BA:222,EMP_TEMP_ECO_OCU_NB,ECO_ISIC4_N,OCU_ISCO08_1,2024,11.529,,,,R1:3513
KOR,BA:222,EMP_TEMP_ECO_OCU_NB,ECO_ISIC4_N,OCU_ISCO08_2,2024,92.814,,,,R1:3513
KOR,BA:222,EMP_TEMP_ECO_OCU_NB,ECO_ISIC4_N,OCU_ISCO08_3,2024,290.889,,,,R1:3513
KOR,BA:222,EMP_TEMP_ECO_OCU_NB,ECO_ISIC4_N,OCU_ISCO08_4,2024,97.429,,,,R1:3513
KOR,BA:222,EMP_TEMP_ECO_OCU_NB,ECO_ISIC4_N,OCU_ISCO08_5,2024,74.489,,,,R1:3513
KOR,BA:222,EMP_TEMP_ECO_OCU_NB,ECO_ISIC4_N,OCU_ISCO08_6,2024,27.536,,,,R1:3513
KOR,BA:222,EMP_TEMP_ECO_OCU_NB,ECO_ISIC4_N,OCU_ISCO08_7,2024,76.253,,,,R1:3513
KOR,BA:222,EMP_TEMP_ECO_OCU_NB,ECO_ISIC4_N,OCU_ISCO08_8,2024,110.655,,,,R1:3513
KOR,BA:222,EMP_TEMP_ECO_OCU_NB,ECO_ISIC4_N,OCU_ISCO08_9,2024,597.503,,,,R1:3513
KOR,BA:222,EMP_TEMP_ECO_OCU_NB,ECO_ISIC4_O,OCU_ISCO08_TOTAL,2024,1307.64,,,,R1:3513
KOR,BA:222,EMP_TEMP_ECO_OCU_NB,ECO_ISIC4_O,OCU_ISCO08_1,2024,8.927,,,,R1:3513
KOR,BA:222,EMP_TEMP_ECO_OCU_NB,ECO_ISIC4_O,OCU_ISCO08_2,2024,108.361,,,,R1:3513
KOR,BA:222,EMP_TEMP_ECO_OCU_NB,ECO_ISIC4_O,OCU_ISCO08_3,2024,638.251,,,,R1:3513
KOR,BA:222,EMP_TEMP_ECO_OCU_NB,ECO_ISIC4_O,OCU_ISCO08_4,2024,269.966,,,,R1:3513
KOR,BA:222,EMP_TEMP_ECO_OCU_NB,ECO_ISIC4_O,OCU_ISCO08_5,2024,1.74,,,,R1:3513
KOR,BA:222,EMP_TEMP_ECO_OCU_NB,ECO_ISIC4_O,OCU_ISCO08_6,2024,3.682,,,,R1:3513
KOR,BA:222,EMP_TEMP_ECO_OCU_NB,ECO_ISIC4_O,OCU_ISCO08_7,2024,14.359,,,,R1:3513
KOR,BA:222,EMP_TEMP_ECO_OCU_NB,ECO_ISIC4_O,OCU_ISCO08_8,2024,18.267,,,,R1:3513
KOR,BA:222,EMP_TEMP_ECO_OCU_NB,ECO_ISIC4_O,OCU_ISCO08_9,2024,244.087,,,,R1:3513
KOR,BA:222,EMP_TEMP_ECO_OCU_NB,ECO_ISIC4_P,OCU_ISCO08_TOTAL,2024,1900.306,,,,R1:3513
KOR,BA:222,EMP_TEMP_ECO_OCU_NB,ECO_ISIC4_P,OCU_ISCO08_1,2024,35.067,,,,R1:3513
KOR,BA:222,EMP_TEMP_ECO_OCU_NB,ECO_ISIC4_P,OCU_ISCO08_2,2024,1334.607,,,,R1:3513
KOR,BA:222,EMP_TEMP_ECO_OCU_NB,ECO_ISIC4_P,OCU_ISCO08_3,2024,245.842,,,,R1:3513
KOR,BA:222,EMP_TEMP_ECO_OCU_NB,ECO_ISIC4_P,OCU_ISCO08_4,2024,142.75,,,,R1:3513
KOR,BA:222,EMP_TEMP_ECO_OCU_NB,ECO_ISIC4_P,OCU_ISCO08_5,2024,3.602,,,,R1:3513
KOR,BA:222,EMP_TEMP_ECO_OCU_NB,ECO_ISIC4_P,OCU_ISCO08_6,2024,0.346,U,,,R1:3513
KOR,BA:222,EMP_TEMP_ECO_OCU_NB,ECO_ISIC4_P,OCU_ISCO08_7,2024,6.18,,,,R1:3513
KOR,BA:222,EMP_TEMP_ECO_OCU_NB,ECO_ISIC4_P,OCU_ISCO08_8,2024,23.939,,,,R1:3513
KOR,BA:222,EMP_TEMP_ECO_OCU_NB,ECO_ISIC4_P,OCU_ISCO08_9,2024,107.972,,,,R1:3513
KOR,BA:222,EMP_TEMP_ECO_OCU_NB,ECO_ISIC4_Q,OCU_ISCO08_TOTAL,2024,2940.475,,,,R1:3513
KOR,BA:222,EMP_TEMP_ECO_OCU_NB,ECO_ISIC4_Q,OCU_ISCO08_1,2024,17.146,,,,R1:3513
KOR,BA:222,EMP_TEMP_ECO_OCU_NB,ECO_ISIC4_Q,OCU_ISCO08_2,2024,1354.324,,,,R1:3513
KOR,BA:222,EMP_TEMP_ECO_OCU_NB,ECO_ISIC4_Q,OCU_ISCO08_3,2024,233.398,,,,R1:3513
KOR,BA:222,EMP_TEMP_ECO_OCU_NB,ECO_ISIC4_Q,OCU_ISCO08_4,2024,758.153,,,,R1:3513
KOR,BA:222,EMP_TEMP_ECO_OCU_NB,ECO_ISIC4_Q,OCU_ISCO08_5,2024,1.961,,,,R1:3513
KOR,BA:222,EMP_TEMP_ECO_OCU_NB,ECO_ISIC4_Q,OCU_ISCO08_6,2024,0.787,,,,R1:3513
KOR,BA:222,EMP_TEMP_ECO_OCU_NB,ECO_ISIC4_Q,OCU_ISCO08_7,2024,14.422,,,,R1:3513
KOR,BA:222,EMP_TEMP_ECO_OCU_NB,ECO_ISIC4_Q,OCU_ISCO08_8,2024,32.797,,,,R1:3513
KOR,BA:222,EMP_TEMP_ECO_OCU_NB,ECO_ISIC4_Q,OCU_ISCO08_9,2024,527.487,,,,R1:3513
KOR,BA:222,EMP_TEMP_ECO_OCU_NB,ECO_ISIC4_R,OCU_ISCO08_TOTAL,2024,522.22,,,,R1:3513
KOR,BA:222,EMP_TEMP_ECO_OCU_NB,ECO_ISIC4_R,OCU_ISCO08_1,2024,7.006,,,,R1:3513
KOR,BA:222,EMP_TEMP_ECO_OCU_NB,ECO_ISIC4_R,OCU_ISCO08_2,2024,204.581,,,,R1:3513
KOR,BA:222,EMP_TEMP_ECO_OCU_NB,ECO_ISIC4_R,OCU_ISCO08_3,2024,71.852,,,,R1:3513
KOR,BA:222,EMP_TEMP_ECO_OCU_NB,ECO_ISIC4_R,OCU_ISCO08_4,2024,160.155,,,,R1:3513
KOR,BA:222,EMP_TEMP_ECO_OCU_NB,ECO_ISIC4_R,OCU_ISCO08_5,2024,28.269,,,,R1:3513
KOR,BA:222,EMP_TEMP_ECO_OCU_NB,ECO_ISIC4_R,OCU_ISCO08_6,2024,6.489,,,,R1:3513
KOR,BA:222,EMP_TEMP_ECO_OCU_NB,ECO_ISIC4_R,OCU_ISCO08_7,2024,6.94,,,,R1:3513
KOR,BA:222,EMP_TEMP_ECO_OCU_NB,ECO_ISIC4_R,OCU_ISCO08_8,2024,2.954,,,,R1:3513
KOR,BA:222,EMP_TEMP_ECO_OCU_NB,ECO_ISIC4_R,OCU_ISCO08_9,2024,33.975,,,,R1:3513
KOR,BA:222,EMP_TEMP_ECO_OCU_NB,ECO_ISIC4_S,OCU_ISCO08_TOTAL,2024,1130.512,,,,R1:3513
KOR,BA:222,EMP_TEMP_ECO_OCU_NB,ECO_ISIC4_S,OCU_ISCO08_1,2024,4.08,,,,R1:3513
KOR,BA:222,EMP_TEMP_ECO_OCU_NB,ECO_ISIC4_S,OCU_ISCO08_2,2024,149.17,,,,R1:3513
KOR,BA:222,EMP_TEMP_ECO_OCU_NB,ECO_ISIC4_S,OCU_ISCO08_3,2024,129.288,,,,R1:3513
KOR,BA:222,EMP_TEMP_ECO_OCU_NB,ECO_ISIC4_S,OCU_ISCO08_4,2024,391.949,,,,R1:3513
KOR,BA:222,EMP_TEMP_ECO_OCU_NB,ECO_ISIC4_S,OCU_ISCO08_5,2024,25.645,,,,R1:3513
KOR,BA:222,EMP_TEMP_ECO_OCU_NB,ECO_ISIC4_S,OCU_ISCO08_6,2024,0.867,,,,R1:3513
KOR,BA:222,EMP_TEMP_ECO_OCU_NB,ECO_ISIC4_S,OCU_ISCO08_7,2024,240.451,,,,R1:3513
KOR,BA:222,EMP_TEMP_ECO_OCU_NB,ECO_ISIC4_S,OCU_ISCO08_8,2024,69.785,,,,R1:3513
KOR,BA:222,EMP_TEMP_ECO_OCU_NB,ECO_ISIC4_S,OCU_ISCO08_9,2024,119.276,,,,R1:3513
KOR,BA:222,EMP_TEMP_ECO_OCU_NB,ECO_ISIC4_T,OCU_ISCO08_TOTAL,2024,79.36,,,,R1:3513
KOR,BA:222,EMP_TEMP_ECO_OCU_NB,ECO_ISIC4_T,OCU_ISCO08_2,2024,,U,,,R1:3513
KOR,BA:222,EMP_TEMP_ECO_OCU_NB,ECO_ISIC4_T,OCU_ISCO08_4,2024,7.774,,,,R1:3513
